Iteration,Total Timesteps,Iteration Time,Total Time,FPS,Value Function Loss,Surrogate Loss,    Imitate Loss,Mean Action Noise Std,Mean Reward,Mean Episode Length
0,98304,2.4359734058380127,2.4359734058380127,40355,0.08268815316259862,0.0057373517309315504,"tensor(inf, device='cuda:0', dtype=torch.float64)",0.9999486804008484,-0.4820325970649719,11.5
1,196608,2.2034077644348145,4.639381170272827,44614,0.17226766049861908,-0.0024832217575749384,"tensor(4.9288, device='cuda:0', dtype=torch.float64)",0.9986793398857117,-0.9735495845476786,25.238095238095237
2,294912,2.351175546646118,6.990556716918945,41810,0.16960297301411628,0.0007517963531427085,"tensor(2.6108, device='cuda:0', dtype=torch.float64)",0.9977027773857117,-1.348639609484837,35.758620689655174
3,393216,2.316746234893799,9.307302951812744,42431,0.13831019960343838,-0.004075933208514471,"tensor(1.8346, device='cuda:0', dtype=torch.float64)",0.9960153698921204,-2.287500141809384,55.9375
4,491520,2.4157752990722656,11.72307825088501,40692,0.0567216033115983,-0.0006221078627277165,"tensor(1.5993, device='cuda:0', dtype=torch.float64)",0.992209255695343,-5.072113064527511,102.95
5,589824,2.304304361343384,14.027382612228394,42661,0.05522546507418156,-0.0040806879391311664,"tensor(1.3420, device='cuda:0', dtype=torch.float64)",0.9877321124076843,-6.21612657546997,138.92
6,688128,2.678825616836548,16.70620822906494,36696,0.0508670324459672,-0.0005651186569593847,"tensor(1.1224, device='cuda:0', dtype=torch.float64)",0.9840615391731262,-6.9055117416381835,165.0
7,786432,2.369650363922119,19.07585859298706,41484,0.08990976437926293,-0.0008482354925945402,"tensor(1.0620, device='cuda:0', dtype=torch.float64)",0.9843410849571228,-7.6763817405700685,189.09
8,884736,2.819028615951538,21.8948872089386,34871,0.09794652108103037,-0.000780896390642738,"tensor(0.9225, device='cuda:0', dtype=torch.float64)",0.9785301089286804,-8.230319781303406,214.18
9,983040,2.504434108734131,24.39932131767273,39251,0.05239853113889694,0.004961385186470579,"tensor(0.7880, device='cuda:0', dtype=torch.float64)",0.975899875164032,-8.73165286064148,235.72
10,1081344,2.5084428787231445,26.907764196395874,39189,0.05225483886897564,-0.00013700938725378365,"tensor(0.6806, device='cuda:0', dtype=torch.float64)",0.9712845087051392,-9.572431464195251,260.76
11,1179648,2.4318480491638184,29.339612245559692,40423,0.06143524330109358,-0.0035283638804685324,"tensor(0.6567, device='cuda:0', dtype=torch.float64)",0.9695011973381042,-9.507091343402863,268.54
12,1277952,2.5098423957824707,31.849454641342163,39167,0.0980579424649477,0.0012762808008119463,"tensor(0.5859, device='cuda:0', dtype=torch.float64)",0.9682723879814148,-10.187554216384887,283.41
13,1376256,2.7134463787078857,34.56290102005005,36228,0.053463165648281574,-3.875880356645212e-05,"tensor(0.5327, device='cuda:0', dtype=torch.float64)",0.9670268297195435,-9.857869508266448,285.21
14,1474560,2.76220965385437,37.32511067390442,35588,0.03984989952296018,-0.004201863663820404,"tensor(0.5302, device='cuda:0', dtype=torch.float64)",0.9612968564033508,-9.49145495891571,273.19
15,1572864,2.4730639457702637,39.79817461967468,39749,0.0412277864292264,-0.0009674086613813415,"tensor(0.4933, device='cuda:0', dtype=torch.float64)",0.957623302936554,-9.571574378013612,286.21
16,1671168,2.3668012619018555,42.16497588157654,41534,0.04546075109392404,0.00031513844151049853,"tensor(0.4597, device='cuda:0', dtype=torch.float64)",0.9572848677635193,-8.457802197933198,255.09
17,1769472,2.425384759902954,44.59036064147949,40531,0.03289944976568222,-0.00046673719843965956,"tensor(0.4303, device='cuda:0', dtype=torch.float64)",0.9519578218460083,-8.193101170063018,239.93
18,1867776,2.500075578689575,47.09043622016907,39320,0.039582743495702746,-0.001026822265703231,"tensor(0.4038, device='cuda:0', dtype=torch.float64)",0.9497470855712891,-8.279948093891143,260.38
19,1966080,2.5554211139678955,49.64585733413696,38468,0.028124172054231168,-0.0011575593234738335,"tensor(0.3082, device='cuda:0', dtype=torch.float64)",0.9463672637939453,-8.084840388298035,255.11
20,2064384,8.082503080368042,57.728360414505005,12162,0.03626411883160472,-0.001819396407017848,"tensor(0.2878, device='cuda:0', dtype=torch.float64)",0.942517101764679,-7.8465742993354795,265.11
21,2162688,2.4120798110961914,60.140440225601196,40754,0.03363517466932535,-0.002736488194204867,"tensor(0.2703, device='cuda:0', dtype=torch.float64)",0.9416489601135254,-7.733381125926972,274.89
22,2260992,2.533947229385376,62.67438745498657,38794,0.03183848541229963,0.0007229988957988098,"tensor(0.2546, device='cuda:0', dtype=torch.float64)",0.9431613087654114,-7.449795520305633,259.94
23,2359296,2.3870222568511963,65.06140971183777,41182,0.027189997863024472,-0.0021891205280553548,"tensor(0.2385, device='cuda:0', dtype=torch.float64)",0.9415998458862305,-8.056031963825227,281.32
24,2457600,2.49342679977417,67.55483651161194,39425,0.027019003964960576,-0.0006626206741202623,"tensor(0.1963, device='cuda:0', dtype=torch.float64)",0.9400663375854492,-8.158759889602662,292.36
25,2555904,2.512855291366577,70.06769180297852,39120,0.029536455869674683,0.0012220212956890464,"tensor(0.1860, device='cuda:0', dtype=torch.float64)",0.9359135031700134,-7.434766738414765,272.41
26,2654208,2.4480037689208984,72.51569557189941,40156,0.025780224706977606,-0.004136700714298058,"tensor(0.1780, device='cuda:0', dtype=torch.float64)",0.9339356422424316,-7.28164231300354,274.17
27,2752512,2.4039907455444336,74.91968631744385,40892,0.02640482485294342,0.000913617352489382,"tensor(0.1678, device='cuda:0', dtype=torch.float64)",0.9321295022964478,-7.284312036037445,274.97
