Iteration,Total Timesteps,Iteration Time,Total Time,FPS,Value Function Loss,Surrogate Loss,    Imitate Loss,Mean Action Noise Std,Mean Reward,Mean Episode Length
0,98304,2.716336250305176,2.716336250305176,36189,0.04631457030773163,-0.005494288065528962,"tensor(nan, device='cuda:0', dtype=torch.float64)",0.9987396597862244,-0.4567656274884939,13.8125
1,196608,2.685515880584717,5.401852130889893,36605,0.14147923067212104,-0.0022557558651897123,"tensor(0.0497, device='cuda:0', dtype=torch.float64)",0.9975513815879822,-0.7172779142856598,21.56
2,294912,2.817645788192749,8.219497919082642,34888,0.17889883890748023,-0.0005696102511137724,"tensor(0.0518, device='cuda:0', dtype=torch.float64)",0.9984308481216431,-0.934104130603373,30.1875
3,393216,2.8268673419952393,11.04636526107788,34774,0.13438121378421783,-0.0013746128213824704,"tensor(0.0546, device='cuda:0', dtype=torch.float64)",0.9971250891685486,-2.4033775334641083,55.847457627118644
4,491520,2.9431121349334717,13.989477396011353,33401,0.052257674373686315,-0.0007787627604557201,"tensor(0.0650, device='cuda:0', dtype=torch.float64)",0.9925211071968079,-4.282865940928459,93.18
5,589824,2.8692266941070557,16.858704090118408,34261,0.05264444798231125,-0.0005136998690431938,"tensor(0.0688, device='cuda:0', dtype=torch.float64)",0.9847292304039001,-6.597074353694916,139.25
6,688128,2.9010210037231445,19.759725093841553,33886,0.052584449760615826,-0.002541936562920455,"tensor(0.0701, device='cuda:0', dtype=torch.float64)",0.980685830116272,-6.945250196456909,164.76
7,786432,2.911522388458252,22.671247482299805,33763,0.0627508657053113,0.00027131391325383445,"tensor(0.0792, device='cuda:0', dtype=torch.float64)",0.9784910082817078,-7.4462187433242795,189.73
8,884736,2.975353479385376,25.64660096168518,33039,0.0571913804858923,3.1396100530400874e-05,"tensor(0.0767, device='cuda:0', dtype=torch.float64)",0.9763551950454712,-8.190687198638916,214.14
9,983040,2.993321657180786,28.639922618865967,32841,0.06775855161249637,-0.000647719216067344,"tensor(0.0737, device='cuda:0', dtype=torch.float64)",0.9755749702453613,-8.585613572597504,234.51
10,1081344,2.9472811222076416,31.58720374107361,33354,0.04618524704128504,-0.00018681169312912972,"tensor(0.0705, device='cuda:0', dtype=torch.float64)",0.9718057513237,-9.502236776351928,257.04
11,1179648,2.965331792831421,34.55253553390503,33151,0.04782127030193806,-0.0035697794170118867,"tensor(0.0744, device='cuda:0', dtype=torch.float64)",0.9690195322036743,-9.108869071006774,262.7
12,1277952,2.9673044681549072,37.51984000205994,33129,0.07172626592218875,0.007199887248134473,"tensor(0.0731, device='cuda:0', dtype=torch.float64)",0.9691801071166992,-9.539569621086121,274.26
