Iteration,Total Timesteps,Iteration Time,Total Time,FPS,Value Function Loss,Surrogate Loss,    Imitate Loss,Mean Action Noise Std,Mean Reward,Mean Episode Length
0,98304,2.69705867767334,2.69705867767334,36448,0.04626927860081196,-0.0054384258750360456,"tensor(nan, device='cuda:0', dtype=torch.float64)",0.9988341331481934,-0.4567656274884939,13.8125
1,196608,2.664912700653076,5.361971378326416,36888,0.1541124999523163,-0.0019434835587162525,"tensor(0.0497, device='cuda:0', dtype=torch.float64)",0.9976778030395508,-0.719350734949112,21.56
2,294912,2.831897735595703,8.19386911392212,34713,0.1743648536503315,-0.001859469444025308,"tensor(0.0520, device='cuda:0', dtype=torch.float64)",0.9986239671707153,-0.9553115712478757,30.1875
3,393216,2.797152519226074,10.991021633148193,35144,0.12914636619389058,-0.0014706390288665716,"tensor(0.0550, device='cuda:0', dtype=torch.float64)",0.9983049631118774,-2.2988601165716767,56.98360655737705
4,491520,2.9264512062072754,13.917472839355469,33591,0.0685941806063056,-0.0023708137867288316,"tensor(0.0653, device='cuda:0', dtype=torch.float64)",0.9936136603355408,-4.516191933751106,96.28
5,589824,2.8282268047332764,16.745699644088745,34758,0.06240497659891844,-0.0030251982243498787,"tensor(0.0691, device='cuda:0', dtype=torch.float64)",0.9880877733230591,-6.194748311042786,138.93
6,688128,2.862030506134033,19.60773015022278,34347,0.050521636568009856,0.00014470943860942498,"tensor(0.0718, device='cuda:0', dtype=torch.float64)",0.984440267086029,-7.164769630432129,164.69
7,786432,2.914957046508789,22.522687196731567,33723,0.05576638113707304,-0.0020372076687635854,"tensor(0.0803, device='cuda:0', dtype=torch.float64)",0.9787241220474243,-7.261190819740295,190.08
8,884736,2.9174909591674805,25.440178155899048,33694,0.051663057692348954,0.0008714318813872523,"tensor(0.0793, device='cuda:0', dtype=torch.float64)",0.9749156832695007,-8.277416753768922,214.11
9,983040,2.938908815383911,28.37908697128296,33449,0.06547166779637337,0.0008598151500336826,"tensor(0.0771, device='cuda:0', dtype=torch.float64)",0.9718160629272461,-8.71127691268921,236.43
10,1081344,2.9466333389282227,31.32572031021118,33361,0.048058589734137055,-0.0012408779559336836,"tensor(0.0743, device='cuda:0', dtype=torch.float64)",0.9700905680656433,-9.396568365097046,258.47
11,1179648,2.9664511680603027,34.292171478271484,33138,0.047388860024511814,-0.0023397867587391374,"tensor(0.0790, device='cuda:0', dtype=torch.float64)",0.9637771844863892,-10.037979278564453,277.18
12,1277952,2.9157063961029053,37.20787787437439,33715,0.05598842184990645,0.0011978532365901629,"tensor(0.0773, device='cuda:0', dtype=torch.float64)",0.9602435231208801,-9.743508486747741,283.85
13,1376256,3.0162720680236816,40.22414994239807,32591,0.04020805470645428,-0.001970780977717368,"tensor(0.0771, device='cuda:0', dtype=torch.float64)",0.956592857837677,-9.713280231952668,285.0
14,1474560,2.895045757293701,43.11919569969177,33955,0.03126934804022312,0.004831735542393289,"tensor(0.0841, device='cuda:0', dtype=torch.float64)",0.9546958804130554,-9.914776792526245,297.15
15,1572864,2.9316630363464355,46.05085873603821,33531,0.0375258319079876,-0.0041730032360646875,"tensor(0.0845, device='cuda:0', dtype=torch.float64)",0.9502186179161072,-8.748893353939057,271.34
16,1671168,3.01747727394104,49.06833600997925,32578,0.031580500118434426,0.0007492660835850984,"tensor(0.0859, device='cuda:0', dtype=torch.float64)",0.9501043558120728,-8.603311462402344,264.16
17,1769472,2.9053752422332764,51.973711252212524,33835,0.03185837585479021,3.090172540396452e-05,"tensor(0.0860, device='cuda:0', dtype=torch.float64)",0.9453983306884766,-7.701825733184815,254.47
18,1867776,3.037445545196533,55.01115679740906,32364,0.09002123326063156,0.0014722980820806697,"tensor(0.0854, device='cuda:0', dtype=torch.float64)",0.9436107873916626,-8.26765882730484,271.71
19,1966080,3.0133683681488037,58.02452516555786,32622,0.05604749880731106,0.0024531077666324562,"tensor(0.0681, device='cuda:0', dtype=torch.float64)",0.9418895840644836,-6.998350677490234,247.63
20,2064384,2.9186108112335205,60.94313597679138,33681,0.03818835187703371,0.0008027373267395887,"tensor(0.0671, device='cuda:0', dtype=torch.float64)",0.9390661120414734,-7.118900120258331,248.18
21,2162688,2.9488730430603027,63.892009019851685,33336,0.026779232453554867,-0.0006643169122980908,"tensor(0.0654, device='cuda:0', dtype=torch.float64)",0.9351045489311218,-7.4240770697593685,263.44
22,2260992,2.9139442443847656,66.80595326423645,33735,0.028002482000738384,-0.0007708648219704628,"tensor(0.0649, device='cuda:0', dtype=torch.float64)",0.9326226115226746,-6.993817884922027,243.34
23,2359296,3.0451016426086426,69.85105490684509,32282,0.026761122234165668,-0.0017252555582672358,"tensor(0.0643, device='cuda:0', dtype=torch.float64)",0.9299327731132507,-6.820190637111664,256.79
24,2457600,3.0194053649902344,72.87046027183533,32557,0.026913178339600562,-0.00012843905133195222,"tensor(0.0548, device='cuda:0', dtype=torch.float64)",0.9275816082954407,-7.236947772502899,264.95
25,2555904,2.922166109085083,75.79262638092041,33640,0.02491570161655545,-0.002395392231119331,"tensor(0.0548, device='cuda:0', dtype=torch.float64)",0.9245427250862122,-7.059401097297669,277.28
26,2654208,2.9590036869049072,78.75163006782532,33221,0.026628782879561184,0.004170990501006599,"tensor(0.0543, device='cuda:0', dtype=torch.float64)",0.9236987233161926,-6.465428688526154,247.78
27,2752512,2.9030559062957764,81.6546859741211,33862,0.0198876210488379,-0.003187878942117095,"tensor(0.0548, device='cuda:0', dtype=torch.float64)",0.9198310971260071,-6.203620018959046,253.53
28,2850816,2.9611728191375732,84.61585879325867,33197,0.021438356302678586,-0.0035906672230339607,"tensor(0.0519, device='cuda:0', dtype=torch.float64)",0.917984127998352,-5.8845928144454955,248.59
29,2949120,2.9060287475585938,87.52188754081726,33827,0.021044653095304965,0.002424590411828831,"tensor(0.0520, device='cuda:0', dtype=torch.float64)",0.9154510498046875,-6.338524453639984,261.76
30,3047424,2.8833322525024414,90.4052197933197,34093,0.018019981682300568,-0.0006596537423320115,"tensor(0.0518, device='cuda:0', dtype=torch.float64)",0.9136695265769958,-6.179863061904907,254.09
31,3145728,3.0335540771484375,93.43877387046814,32405,0.017315967194736003,3.64037823601393e-05,"tensor(0.0515, device='cuda:0', dtype=torch.float64)",0.9102877974510193,-6.059787132740021,261.96
32,3244032,3.0254461765289307,96.46422004699707,32492,0.022221729252487422,-0.0020893211163638624,"tensor(0.0537, device='cuda:0', dtype=torch.float64)",0.9104141592979431,-5.724657933712006,256.23
33,3342336,2.943431854248047,99.40765190124512,33397,0.019223795272409916,-0.0006506739133328665,"tensor(0.0532, device='cuda:0', dtype=torch.float64)",0.9089722037315369,-5.8998651027679445,265.4
34,3440640,2.917215585708618,102.32486748695374,33697,0.01963278641924262,-0.002532079699449241,"tensor(0.0534, device='cuda:0', dtype=torch.float64)",0.9078972935676575,-5.7329280161857605,268.12
35,3538944,2.9398536682128906,105.26472115516663,33438,0.01907672081142664,-0.0004771825195348356,"tensor(0.0536, device='cuda:0', dtype=torch.float64)",0.9052837491035461,-5.65113089799881,263.73
36,3637248,2.973979949951172,108.2387011051178,33054,0.017109737545251847,-0.0023775325971655548,"tensor(0.0531, device='cuda:0', dtype=torch.float64)",0.9005013704299927,-5.790128369331359,271.62
37,3735552,2.9543356895446777,111.19303679466248,33274,0.014680931670591235,0.0006876591214677319,"tensor(0.0542, device='cuda:0', dtype=torch.float64)",0.8969581723213196,-5.50880806684494,259.48
38,3833856,2.958164930343628,114.1512017250061,33231,0.013725361321121454,-0.004872566761696362,"tensor(0.0546, device='cuda:0', dtype=torch.float64)",0.8911649584770203,-5.572196354866028,261.33
39,3932160,2.982316493988037,117.13351821899414,32962,0.01473621274344623,-0.0027115139964735135,"tensor(0.0547, device='cuda:0', dtype=torch.float64)",0.8903144001960754,-5.558048634529114,275.52
40,4030464,3.0237958431243896,120.15731406211853,32510,0.016307447012513875,-0.0007989570185600314,"tensor(0.0556, device='cuda:0', dtype=torch.float64)",0.8895578384399414,-5.321877236366272,262.72
41,4128768,2.948183536529541,123.10549759864807,33343,0.012278491910547019,-0.0004265131716238102,"tensor(0.0560, device='cuda:0', dtype=torch.float64)",0.8868044018745422,-5.234635322093964,265.38
42,4227072,2.935084104537964,126.04058170318604,33492,0.013083399320021272,-0.0020116107247304172,"tensor(0.0554, device='cuda:0', dtype=torch.float64)",0.8851483464241028,-5.217756116390229,261.59
43,4325376,2.9458699226379395,128.98645162582397,33370,0.016041661193594337,-0.002667483653931413,"tensor(0.0549, device='cuda:0', dtype=torch.float64)",0.8834023475646973,-5.133729810714722,257.66
44,4423680,3.023420810699463,132.00987243652344,32514,0.01287562409415841,-0.004024462593952194,"tensor(0.0543, device='cuda:0', dtype=torch.float64)",0.8816578984260559,-4.926396429538727,266.04
45,4521984,2.915565013885498,134.92543745040894,33716,0.011560430750250816,-0.002219633961794898,"tensor(0.0542, device='cuda:0', dtype=torch.float64)",0.8786163330078125,-5.055246133804321,262.17
46,4620288,2.9124112129211426,137.83784866333008,33753,0.010752253560349345,-0.00510728442677646,"tensor(0.0538, device='cuda:0', dtype=torch.float64)",0.8755138516426086,-4.886200025081634,259.39
47,4718592,2.9142816066741943,140.75213027000427,33731,0.014259848557412625,0.0002567235263995826,"tensor(0.0537, device='cuda:0', dtype=torch.float64)",0.8753454089164734,-5.023820830583572,273.51
48,4816896,2.9324827194213867,143.68461298942566,33522,0.012194974394515157,-0.003200811783062818,"tensor(0.0537, device='cuda:0', dtype=torch.float64)",0.8724560141563416,-4.624151659011841,251.24
